Support,Amine 1 or Additive 1,"1°, 2°, 3° Amine Ratio",MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2,Additive 3,Amine 2 or Additive 2  to Amine 1 Ratio,Additive 3 to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),Relative Humidity (%),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),Amine Efficiency (mmol/mmol),Time to Half Saturation (min),Time to 90% Saturation (min),Desorption Temperature (℃),Weight Loss Stability (%),Capacity Loss Stability (%),Cycle Number,Heat of Adsorption (kJ/mmol),DOI
SBA-15,BPEI,1.81:1.52:1,600,25.00 ,5.83,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,0.72,0.12,17.0,61.0,90,0.103,-1.40,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,25.00 ,5.83,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,0.72,0.12,17.0,61.0,110,0.260,-5.00,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,-5,1.15,0.10,69.6,230.9,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,5,0.90,0.08,26.2,170.3,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,15,1.09,0.09,22.1,122.3,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,1.22,0.10,20.5,131.0,90,0.482,0.50,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,1.22,0.10,20.5,131.0,110,0.612,2.12,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,35,1.43,0.12,26.4,116.7,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,45,1.59,0.14,29.3,104.0,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,55,1.35,0.12,18.3,60.6,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,65,1.01,0.09,16.4,55.1,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,75,0.32,0.03,6.1,12.7,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,75.00 ,17.50,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,1.90,0.16,43.0,221.0,90,0.380,3.00,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,75.00 ,17.50,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,1.90,0.11,43.0,221.0,110,0.715,1.00,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,25.00 ,5.83,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,0.89,0.05,20.2,71.4,90,0.941,1.52,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,25.00 ,5.83,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,0.89,0.15,20.2,71.4,110,0.232,3.83,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,-5,2.28,0.39,35.6,133.4,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,5,1.98,0.15,31.7,92.9,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,15,1.96,0.15,31.0,75.2,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,2.14,0.16,31.3,67.9,90,2.673,3.40,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,2.14,0.08,31.3,67.9,110,2.519,3.59,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,35,2.12,0.16,30.5,61.5,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,45,2.07,0.16,30.6,58.9,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,55,2.05,0.16,30.6,75.5,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,65,1.13,0.09,21.3,59.1,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,75,0.33,0.03,-, -,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.23,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,2.30,0.17,41.6,100.1,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,75.00 ,19.84,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,3.44,0.04,113.0,241.5,90,3.638,5.52,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,TEPA,1:1.5:0,189,75.00 ,19.84,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,3.44,0.17,113.0,241.5,110,8.075,0.00,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15, DEA,0:1:0,105,50.00 ,4.91,0,0,0.00,0.00,2.00,935,1.45,6.20,0.00 ,0.04,100,300,25,0.54,0.11,11.9,42.2,-,-,-,-,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,6.47,DEA ,0,4.00,0.00,1.18,935,1.45,6.20,0.00 ,0.04,100,300,25,1.10,0.17,16.1,42.7,-,-,-,-,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,7.67,DEA ,0,2.00,0.00,0.84,935,1.45,6.20,0.00 ,0.04,100,300,25,1.38,0.18,23.6,52.0,-,-,-,-,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,8.84,DEA ,0,1.00,0.00,0.53,935,1.45,6.20,0.00 ,0.04,100,300,25,1.68,0.19,24.5,55.4,80,-,3.50,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,10.56,DEA ,0,0.50,0.00,0.31,935,1.45,6.20,0.00 ,0.04,100,300,25,1.90,0.18,27.7,58.3,70,0.220,6.10,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,10.56,DEA ,0,0.50,0.00,0.31,935,1.45,6.20,0.00 ,0.04,100,300,25,1.90,0.18,27.7,58.3,80,1.104,2.00,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,10.56,DEA ,0,0.50,0.00,0.31,935,1.45,6.20,0.00 ,0.04,100,300,25,1.90,0.18,27.7,58.3,90,23.256,5.00,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,10.56,DEA ,0,0.50,0.00,0.31,935,1.45,6.20,0.00 ,0.04,100,300,25,1.90,0.18,27.7,58.3,-,-,-,-,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,10.56,DEA ,0,0.50,0.00,0.31,935,1.45,6.20,0.00 ,0.04,100,300,25,1.90,0.18,27.7,58.3,110,7.816,13.00,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,11.35,DEA ,0,0.25,0.00,0.17,935,1.45,6.20,0.00 ,0.04,100,300,25,1.93,0.17,26.2,52.7,70,0.219,6.00,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,11.35,DEA ,0,0.25,0.00,0.17,935,1.45,6.20,0.00 ,0.04,100,300,25,1.93,0.17,26.2,52.7,80,0.741,3.70,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,11.35,DEA ,0,0.25,0.00,0.17,935,1.45,6.20,0.00 ,0.04,100,300,25,1.93,0.17,26.2,52.7,90,2.198,4.50,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,11.35,DEA ,0,0.25,0.00,0.17,935,1.45,6.20,0.00 ,0.04,100,300,25,1.93,0.17,26.2,52.7,-,-,-,-,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA ,1:1.5:0,189,50.00 ,11.35,DEA ,0,0.25,0.00,0.17,935,1.45,6.20,0.00 ,0.04,100,300,25,1.93,0.17,26.2,52.7,110,7.902,14.90,10,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15,TEPA,1:1.5:0,189,50.00 ,13.64,0,0,0.00,0.00,0.00,935,1.45,6.20,0.00 ,0.04,100,300,25,1.91,0.14,28.5,57.6,-,-,-,-,-,https://doi.org/10.1016/j.jece.2022.107239
SBA-15, DEA,0:1:0,105,50.00 ,4.89,0,0,0.00,0.00,2.00,992,1.13,4.56,0.00 ,0.04,100,120,25,0.59,0.12,12.4,70.5,-,-,-,-,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,6.88,DEA,0,4.00,0.00,1.25,992,1.13,4.56,0.00 ,0.04,100,120,25,1.10,0.16,14.2,32.5,-,-,-,-,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,7.16,DEA,0,2.00,0.00,0.91,992,1.13,4.56,0.00 ,0.04,100,120,25,1.22,0.17,19.1,53.9,60,-,5.42,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,7.16,DEA,0,2.00,0.00,0.91,992,1.13,4.56,0.00 ,0.04,100,120,25,1.22,0.17,19.1,53.9,70,-,1.37,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,7.16,DEA,0,2.00,0.00,0.91,992,1.13,4.56,0.00 ,0.04,100,120,25,1.22,0.17,19.1,53.9,80,-,4.15,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,7.16,DEA,0,2.00,0.00,0.91,992,1.13,4.56,0.00 ,0.04,100,120,25,1.22,0.17,19.1,53.9,90,-,8.90,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,7.16,DEA,0,2.00,0.00,0.91,992,1.13,4.56,0.00 ,0.04,100,120,25,1.22,0.17,19.1,53.9,110,-,31.31,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,8.10,DEA,0,1.00,0.00,0.59,992,1.13,4.56,0.00 ,0.04,100,120,25,1.62,0.20,24.0,58.0,60,-,13.29,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,8.10,DEA,0,1.00,0.00,0.59,992,1.13,4.56,0.00 ,0.04,100,120,25,1.62,0.20,24.0,58.0,70,-,1.88,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,8.10,DEA,0,1.00,0.00,0.59,992,1.13,4.56,0.00 ,0.04,100,120,25,1.62,0.20,24.0,58.0,70,-,22.00,50,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,8.10,DEA,0,1.00,0.00,0.59,992,1.13,4.56,0.00 ,0.04,100,120,25,1.62,0.20,24.0,58.0,80,-,3.36,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,8.10,DEA,0,1.00,0.00,0.59,992,1.13,4.56,0.00 ,0.04,100,120,25,1.62,0.20,24.0,58.0,90,-,12.22,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,8.10,DEA,0,1.00,0.00,0.59,992,1.13,4.56,0.00 ,0.04,100,120,25,1.62,0.20,24.0,58.0,110,-,17.90,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.45,DEA,0,0.50,0.00,0.34,992,1.13,4.56,0.00 ,0.04,100,120,25,1.51,0.16,23.3,60.2,60,-,26.41,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.45,DEA,0,0.50,0.00,0.34,992,1.13,4.56,0.00 ,0.04,100,120,25,1.51,0.16,23.3,60.2,70,-,7.35,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.45,DEA,0,0.50,0.00,0.34,992,1.13,4.56,0.00 ,0.04,100,120,25,1.51,0.16,23.3,60.2,80,-,3.91,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.45,DEA,0,0.50,0.00,0.34,992,1.13,4.56,0.00 ,0.04,100,120,25,1.51,0.16,23.3,60.2,90,-,5.49,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.45,DEA,0,0.50,0.00,0.34,992,1.13,4.56,0.00 ,0.04,100,120,25,1.51,0.16,23.3,60.2,110,-,8.31,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.93,DEA,0,0.25,0.00,0.19,992,1.13,4.56,0.00 ,0.04,100,120,25,1.29,0.13,20.1,76.9,60,-,41.71,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.93,DEA,0,0.25,0.00,0.19,992,1.13,4.56,0.00 ,0.04,100,120,25,1.29,0.13,20.1,76.9,70,-,21.07,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.93,DEA,0,0.25,0.00,0.19,992,1.13,4.56,0.00 ,0.04,100,120,25,1.29,0.13,20.1,76.9,80,-,7.74,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.93,DEA,0,0.25,0.00,0.19,992,1.13,4.56,0.00 ,0.04,100,120,25,1.29,0.13,20.1,76.9,90,-,4.12,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,9.93,DEA,0,0.25,0.00,0.19,992,1.13,4.56,0.00 ,0.04,100,120,25,1.29,0.13,20.1,76.9,110,-,3.27,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.07,0,0,0.00,0.00,0.00,992,1.13,4.56,0.00 ,0.04,100,120,25,1.11,0.10,16.5,56.3,70,-,24.19,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.07,0,0,0.00,0.00,0.00,992,1.13,4.56,0.00 ,0.04,100,120,25,1.11,0.10,16.5,56.3,80,0.651,-0.25,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.07,0,0,0.00,0.00,0.00,992,1.13,4.56,0.00 ,0.04,100,120,25,1.11,0.10,16.5,56.3,80,-,44.18,50,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.07,0,0,0.00,0.00,0.00,992,1.13,4.56,0.00 ,0.04,100,120,25,1.11,0.10,16.5,56.3,90,-,2.08,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.07,0,0,0.00,0.00,0.00,992,1.13,4.56,0.00 ,0.04,100,120,25,1.11,0.10,16.5,56.3,110,-,2.31,10,-, https://doi.org/10.1002/advs.202207253
SBA-15,TEPA,1:1.5:0,189,50.00 ,9.53,0,0,0.00,0.00,0.00,992,1.08,4.35,0.00 ,0.04,100,180,25,1.62,0.17,25.2,53.6,80,-,7.00,5,-,https://doi.org/10.1002/sus2.141
SBA-15,TEPA,1:1.5:0,189,50.00 ,9.06,CTAB,0,4.00,0.00,0.00,992,1.08,4.35,0.00 ,0.04,100,180,25,1.54,0.17,24.7,49.6,80,-,10.20,5,-,https://doi.org/10.1002/sus2.141
SBA-15,TEPA,1:1.5:0,189,50.00 ,10.32,DEA,0,4.00,0.00,0.18,992,1.08,4.35,0.00 ,0.04,100,180,25,2.27,0.22,32.7,69.7,80,-,2.30,5,-,https://doi.org/10.1002/sus2.141
SBA-15,TEPA,1:1.5:0,189,50.00 ,8.89,P123,0,4.00,0.00,0.00,992,1.08,4.35,0.00 ,0.04,100,180,25,1.60,0.18,25.1,53.4,80,-,5.00,5,-,https://doi.org/10.1002/sus2.141
SBA-15,TEPA,1:1.5:0,189,50.00 ,9.33,PC,0,4.00,0.00,0.00,992,1.08,4.35,0.00 ,0.04,100,180,25,1.40,0.15,23.3,43.6,80,-,16.20,5,-,https://doi.org/10.1002/sus2.141
SBA-15,TEPA,1:1.5:0,189,50.00 ,9.32,PEG200,0,4.00,0.00,0.11,992,1.08,4.35,0.00 ,0.04,100,180,25,2.05,0.22,33.2,65.9,80,-,4.10,5,-,https://doi.org/10.1002/sus2.141
SBA-15,TEPA,1:1.5:0,189,50.00 ,9.06,SDS,0,4.00,0.00,0.00,992,1.08,4.35,0.00 ,0.04,100,180,25,1.63,0.18,25.2,53.7,80,-,21.60,5,-,https://doi.org/10.1002/sus2.141
SBA-15,TEPA,1:1.5:0,189,50.00 ,8.88,Span80,0,4.00,0.00,0.08,992,1.08,4.35,0.00 ,0.04,100,180,25,1.42,0.16,23.3,43.7,80,-,6.20,5,-,https://doi.org/10.1002/sus2.141
SBA-15,BPEI,1.81:1.52:1,305,10.00 ,2.35,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,20,0.66,0.28,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,10.00 ,2.37,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,40,0.52,0.22,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,10.00 ,2.35,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,60,0.28,0.12,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,10.00 ,2.33,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,80,0.21,0.09,0.9,13.1,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,10.00 ,2.31,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,100,0.17,0.07,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,10.00 ,2.17,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,120,0.08,0.04,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,19.77 ,4.40,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,20,1.00,0.23,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,19.77 ,4.39,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,40,1.05,0.24,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,19.77 ,4.38,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,60,0.88,0.20,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,19.77 ,4.40,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,80,0.84,0.19,0.7,2.5,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,19.77 ,4.43,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,100,0.73,0.17,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,19.77 ,4.36,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,120,0.50,0.11,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,33.36 ,7.51,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,20,1.49,0.20,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,33.36 ,7.51,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,40,1.70,0.23,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,33.36 ,7.52,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,60,2.16,0.29,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,33.36 ,7.52,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,80,2.47,0.33,0.9,4.3,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,33.36 ,7.51,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,100,2.19,0.29,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,33.36 ,7.36,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,120,1.67,0.23,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,38.49 ,8.61,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,20,1.44,0.17,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,38.49 ,8.61,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,40,2.01,0.23,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,38.49 ,8.75,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,60,2.45,0.28,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,38.49 ,8.39,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,80,2.81,0.33,0.6,2.9,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,38.49 ,8.62,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,100,2.80,0.32,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,38.49 ,8.63,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,120,2.26,0.26,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,44.12 ,10.39,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,20,1.66,0.16,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,44.12 ,10.29,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,40,2.16,0.21,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,44.12 ,10.18,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,60,2.75,0.27,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,44.12 ,10.10,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,80,3.33,0.33,0.6,2.2,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,44.12 ,10.13,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,100,3.54,0.35,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
SBA-15,BPEI,1.81:1.52:1,305,44.12 ,10.31,0,0,0.00,0.00,0.00,493,1.35,8.81,0.00 ,100.00,60,90,120,2.89,0.28,-,-,-,-,-,-,-,https://doi.org/10.1016/j.seppur.2023.124346
