MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2  to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),1° Amine,2° Amine,Amine_Density (g/cm³),Amine_Viscosity (mPa·s),Support_Morphology_Cubic,Support_Morphology_Foam-like,Support_Morphology_Hollow Spheres,Support_Morphology_Irregular,Support_Morphology_Mesoporous Carbon,Support_Morphology_Monolith,Support_Morphology_Nanoparticles,Support_Morphology_Octahedral,Support_Morphology_Spherical,Support_Morphology_Spherical Carbon,Support_Morphology_Tubular Hollow,Amine_structure_Linear
600,48.98,5.39,0.8,0.4,201.0,0.45,9.2,0.04,90.0,800.0,30,0.98,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
232,81.0,20.7,0.0,0.0,1410.0,8.41,67.1,15.0,50.0,180.0,40,3.89,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,0,0,0,0,0,1,0,1
305,34.22,7.98,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,60,0.84,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,46.66,12.3,0.0,0.0,255.02,0.86,11.71,100.0,60.0,60.0,120,2.74,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
189,66.48,12.08,0.08,0.0,576.0,0.73,3.2,100.0,50.0,30.0,25,3.95,0.4,0.6,0.98,15.0,0,0,0,0,0,1,0,0,0,0,0,1
1020,47.13,10.58,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,1.39,0.37921348314606745,0.3398876404494382,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
202,40.0,7.91,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,25,2.1,0.5,0.5,1.05,25.0,0,0,0,0,0,0,1,0,0,0,0,1
350,28.03,4.0,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,35,1.09,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,70.0,18.49,0.0,0.0,733.0,0.89,7.01,0.04,300.0,180.0,25,1.93,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
189,50.0,10.56,0.5,0.31,935.0,1.45,6.2,0.04,100.0,300.0,25,1.9,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
305,21.9,5.28,0.0,0.0,1525.0,1.92,5.3,15.0,50.0,60.0,70,0.41,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
105,51.63,4.91,0.0,0.0,452.0,0.54,4.75,100.0,80.0,60.0,25,2.48,0.0,1.0,1.09,40.0,0,1,0,0,0,0,0,0,0,0,0,1
305,19.77,4.44,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,100,0.64,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,18.8,5.25,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,60,0.21,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
146,50.0,13.68,0.0,0.0,1380.0,0.65,2.1,0.04,100.0,180.0,25,1.05,0.5,0.5,0.95,22.0,0,0,0,0,0,0,0,0,0,0,0,1
600,47.01,12.31,0.0,0.0,330.0,1.4,16.6,100.0,60.0,60.0,120,2.78,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,50.0,13.23,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,35,2.12,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
189,50.0,13.64,0.0,0.0,935.0,1.45,6.2,0.04,100.0,300.0,25,1.91,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
600,60.0,14.0,0.0,0.0,237.0,1.38,23.3,100.0,30.0,180.0,75,3.7,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
103,34.65,9.29,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,40,0.89,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
145,40.0,8.26,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,-20,0.21,0.3333333333333333,0.6666666666666666,1.04,20.0,0,0,0,0,0,0,1,0,0,0,0,1
600,56.81,13.17,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,80,3.2,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,45.0,10.5,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,75,3.25,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,50.0,9.45,0.5,0.34,992.0,1.13,4.56,0.04,100.0,120.0,25,1.51,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
232,76.25,20.3,0.0,0.0,1410.0,8.41,67.1,100.0,50.0,180.0,100,3.24,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,0,0,0,0,0,1,0,1
103,49.49,13.73,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,60,0.8,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
331,48.92,10.34,0.0,0.0,452.0,0.54,4.75,100.0,80.0,60.0,75,1.7,0.2857142857142857,0.7142857142857143,0.98,18.0,0,1,0,0,0,0,0,0,0,0,0,1
10000,50.0,11.33,0.0,0.0,800.0,1.23,6.1,100.0,30.0,180.0,75,1.7,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
103,47.1,13.0,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,40,0.96,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
10000,50.0,11.67,0.0,0.0,968.0,0.87,3.6,100.0,30.0,180.0,75,2.25,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
6854,50.6,11.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,90,3.3,0.3993993993993994,0.3003003003003003,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
232,79.59,20.4,0.0,0.0,871.0,3.0,18.4,100.0,50.0,180.0,75,3.56,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,1,0,0,0,0,0,0,1
10000,50.0,34.35,0.0,0.0,950.0,1.31,8.01,100.0,100.0,50.0,100,2.32,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
232,56.52,14.4,0.0,0.0,871.0,3.0,18.4,100.0,50.0,180.0,75,0.85,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,1,0,0,0,0,0,0,1
189,35.0,7.01,0.17,0.02,479.0,2.0,22.5,100.0,50.0,80.0,40,2.36,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
103,43.29,11.79,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,100,0.56,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
189,50.0,9.33,4.0,0.0,992.0,1.08,4.35,0.04,100.0,180.0,25,1.4,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
537,10.0,2.34,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,75,0.35,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,50.0,11.67,0.0,0.0,729.0,0.94,8.1,0.04,60.0,300.0,-30,0.21,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,70.0,9.34,2.5,0.2,272.0,1.5,27.8,100.0,70.0,120.0,40,4.76,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
10000,50.0,11.33,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,75,2.84,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
189,68.46,12.34,0.03,0.0,576.0,0.73,3.2,100.0,50.0,30.0,25,3.85,0.4,0.6,0.98,15.0,0,0,0,0,0,1,0,0,0,0,0,1
189,70.0,15.16,0.0,0.0,272.0,1.5,27.8,100.0,70.0,120.0,70,5.46,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
600,42.08,9.8,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,80,2.07,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
305,18.62,4.38,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,120,0.47,0.418013856812933,0.3510392609699769,1.03,200.0,1,0,0,0,0,0,0,0,0,0,0,0
232,75.31,19.4,0.0,0.0,1410.0,8.41,67.1,100.0,50.0,180.0,25,2.64,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,0,0,0,0,0,1,0,1
189,50.0,9.32,4.0,0.11,992.0,1.08,4.35,0.04,100.0,180.0,25,2.05,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
189,37.5,9.9,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,-20,1.2,0.4,0.6,0.98,15.0,0,0,0,0,0,0,1,0,0,0,0,1
537,45.3,10.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,60,2.34,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,67.17,12.25,0.11,0.0,576.0,0.73,3.2,100.0,50.0,30.0,75,4.56,0.4,0.6,0.98,15.0,0,0,0,0,0,1,0,0,0,0,0,1
305,19.77,4.4,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,20,1.0,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,43.29,11.12,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,120,0.35,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
600,55.0,12.83,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,25,2.79,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,29.13,7.64,0.0,0.0,1224.86,1.09,6.46,100.0,60.0,60.0,30,1.85,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
2372,35.0,5.75,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,30,0.04,0.9090909090909091,0.09090909090909091,1.1,120.0,0,1,0,0,0,0,0,0,0,0,0,0
600,83.57,19.26,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,80,3.45,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,72.23,16.72,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,30,2.27,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
103,60.0,17.45,0.0,0.0,733.0,0.89,7.01,0.04,300.0,180.0,25,0.45,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
600,72.23,16.72,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,50,3.13,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
305,18.62,4.38,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,60,0.31,0.418013856812933,0.3510392609699769,1.03,200.0,1,0,0,0,0,0,0,0,0,0,0,0
600,72.36,16.54,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,30,2.36,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
331,70.0,14.8,0.0,0.0,452.0,0.54,4.75,100.0,80.0,60.0,25,2.73,0.2857142857142857,0.7142857142857143,0.98,18.0,0,1,0,0,0,0,0,0,0,0,0,1
1020,38.43,8.63,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,35,1.41,0.37921348314606745,0.3398876404494382,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,34.82,9.15,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,40,0.63,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
537,37.8,8.95,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,45,2.35,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
350,39.59,5.66,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,30,1.63,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,56.9,3.88,1.82,0.95,880.0,1.13,5.14,0.04,90.0,800.0,30,0.64,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,66.33,19.86,0.19,0.0,981.0,1.9,3.3,100.0,50.0,30.0,75,5.51,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
189,70.0,18.49,0.0,0.0,1380.0,0.65,2.1,0.04,300.0,180.0,25,0.17,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
305,32.5,7.84,0.0,0.0,1952.0,1.8,3.79,15.0,50.0,60.0,70,0.62,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
189,35.0,7.06,0.17,0.0,479.0,2.0,22.5,100.0,50.0,80.0,40,2.23,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
537,29.9,7.0,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,30,2.0,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,50.0,9.06,4.0,0.0,992.0,1.08,4.35,0.04,100.0,180.0,25,1.63,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
189,47.6,17.11,0.0,0.0,981.0,1.9,3.3,100.0,50.0,30.0,25,3.08,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
305,21.9,5.28,0.0,0.0,1245.0,1.02,3.63,15.0,50.0,60.0,30,0.56,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
10000,50.4,11.8,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,60,1.77,0.38663484486873506,0.37470167064439136,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,74.37,22.26,0.12,0.0,981.0,1.9,3.3,100.0,50.0,30.0,50,4.49,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
189,23.0,6.08,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,-20,0.9,0.4,0.6,0.98,15.0,0,0,0,0,0,0,1,0,0,0,0,1
600,68.35,5.15,1.68,0.75,880.0,1.13,5.14,0.04,90.0,800.0,30,1.23,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,36.99,8.94,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,100,2.42,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,66.33,19.86,0.19,0.0,981.0,1.9,3.3,100.0,50.0,30.0,25,4.4,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
189,70.0,9.34,2.5,0.2,272.0,1.5,27.8,100.0,70.0,120.0,30,4.89,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
537,17.2,3.99,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,60,1.09,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,60.0,15.85,0.0,0.0,1650.0,0.92,1.82,0.04,300.0,180.0,25,1.12,0.4,0.6,0.98,15.0,1,0,0,0,0,0,0,0,0,0,0,1
189,72.8,19.21,0.64,0.46,272.0,1.54,28.0,100.0,70.0,100.0,20,4.71,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
189,50.0,8.89,4.0,0.0,992.0,1.08,4.35,0.04,100.0,180.0,25,1.6,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
600,23.05,5.56,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,50,0.44,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
305,19.51,4.29,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,60,0.74,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,41.08,12.24,0.84,0.0,981.0,1.9,3.3,100.0,50.0,30.0,50,2.35,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
6854,50.6,11.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,120,2.19,0.1287512100677638,0.0968054211035818,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,18.3,4.27,0.0,0.0,124.0,1.0,16.1,0.04,50.0,720.0,25,0.87,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
305,50.16,11.81,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,100,4.13,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,50.0,10.83,0.0,0.0,1380.0,0.65,2.1,0.04,100.0,180.0,25,0.66,0.0,1.0,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
462,50.0,14.08,0.0,7.69,733.0,0.89,7.01,0.04,300.0,180.0,25,2.16,0.0,1.0,1.02,150.0,0,0,0,0,0,0,0,0,0,0,0,1
600,50.0,11.67,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,35,1.43,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
537,54.3,12.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,90,3.15,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,48.2,11.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,120,3.05,0.4463414634146342,0.30975609756097566,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,60.8,18.2,0.26,0.0,981.0,1.9,3.3,0.04,50.0,30.0,25,3.54,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
189,56.93,18.32,0.19,0.0,981.0,1.9,3.3,15.0,50.0,30.0,75,4.03,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
103,47.1,11.63,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,120,0.24,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
305,50.16,11.82,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,120,3.19,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,52.08,15.52,0.42,0.0,981.0,1.9,3.3,100.0,50.0,30.0,50,3.85,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
600,39.1,10.97,0.0,0.0,3340.0,2.2,2.63,0.04,90.0,50.0,75,0.57,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
600,83.52,19.23,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,30,1.81,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
189,70.0,11.2,1.0,0.51,272.0,1.54,28.0,100.0,70.0,100.0,40,5.63,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
189,70.0,11.96,0.75,0.48,272.0,1.54,28.0,100.0,70.0,100.0,40,5.61,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
